Date,Observed_Max_F,Normal_Max_F,Deviation_F,MA7_Deviation
2024-10-24,72,74,-2,3.7142857142857144
2024-10-25,67,74,-7,1.2857142857142858
2024-10-26,71,74,-3,0.14285714285714285
2024-10-27,77,74,3,-0.2857142857142857
2024-10-28,68,74,-6,-1.2857142857142858
2024-10-29,69,74,-5,-2.4285714285714284
2024-10-30,74,74,0,-2.857142857142857
2024-10-31,69,74,-5,-3.2857142857142856
2024-11-01,66,74,-8,-3.4285714285714284
2024-11-02,66,73,-7,-4.0
2024-11-03,78,73,5,-3.7142857142857144
2024-11-04,74,73,1,-2.7142857142857144
2024-11-05,69,73,-4,-2.5714285714285716
2024-11-06,78,73,5,-1.8571428571428572
2024-11-07,73,73,0,-1.1428571428571428
2024-11-08,73,72,1,0.14285714285714285
2024-11-09,72,72,0,1.1428571428571428
2024-11-10,71,72,-1,0.2857142857142857
2024-11-11,66,72,-6,-0.7142857142857143
2024-11-12,71,72,-1,-0.2857142857142857
2024-11-13,78,72,6,-0.14285714285714285
2024-11-14,70,71,-1,-0.2857142857142857
2024-11-15,63,71,-8,-1.5714285714285714
2024-11-16,68,71,-3,-2.0
2024-11-17,69,71,-2,-2.142857142857143
2024-11-18,65,70,-5,-2.0
2024-11-19,68,70,-2,-2.142857142857143
2024-11-20,74,70,4,-2.4285714285714284
2024-11-21,73,70,3,-1.8571428571428572
2024-11-22,70,70,0,-0.7142857142857143
2024-11-23,61,69,-8,-1.4285714285714286
2024-11-24,61,69,-8,-2.2857142857142856
2024-11-25,70,69,1,-1.4285714285714286
2024-11-26,66,69,-3,-1.5714285714285714
2024-11-27,65,68,-3,-2.5714285714285716
2024-11-28,75,68,7,-2.0
2024-11-29,74,68,6,-1.1428571428571428
2024-11-30,79,68,11,1.5714285714285714
2024-12-01,70,68,2,3.0
2024-12-02,68,67,1,3.0
2024-12-03,65,67,-2,3.142857142857143
2024-12-04,62,67,-5,2.857142857142857
2024-12-05,63,67,-4,1.2857142857142858
2024-12-06,63,67,-4,-0.14285714285714285
2024-12-07,80,66,14,0.2857142857142857
2024-12-08,65,66,-1,-0.14285714285714285
2024-12-09,62,66,-4,-0.8571428571428571
2024-12-10,74,66,8,0.5714285714285714
2024-12-11,72,66,6,2.142857142857143
2024-12-12,60,66,-6,1.8571428571428572
2024-12-13,65,66,-1,2.2857142857142856
2024-12-14,64,66,-2,0.0
2024-12-15,65,66,-1,0.0
2024-12-16,67,66,1,0.7142857142857143
2024-12-17,72,66,6,0.42857142857142855
2024-12-18,83,66,17,2.0
2024-12-19,73,66,7,3.857142857142857
2024-12-20,57,66,-9,2.7142857142857144
2024-12-21,62,66,-4,2.4285714285714284
2024-12-22,63,66,-3,2.142857142857143
2024-12-23,65,66,-1,1.8571428571428572
2024-12-24,60,66,-6,0.14285714285714285
2024-12-25,64,66,-2,-2.5714285714285716
2024-12-26,65,66,-1,-3.7142857142857144
2024-12-27,61,66,-5,-3.142857142857143
2024-12-28,59,66,-7,-3.5714285714285716
2024-12-29,58,66,-8,-4.285714285714286
2024-12-30,62,66,-4,-4.714285714285714
2024-12-31,61,66,-5,-4.571428571428571
2025-01-01,59,66,-7,-5.285714285714286
2025-01-02,71,66,5,-4.428571428571429
2025-01-03,61,66,-5,-4.428571428571429
2025-01-04,62,66,-4,-4.0
2025-01-05,75,66,9,-1.5714285714285714
2025-01-06,71,66,5,-0.2857142857142857
2025-01-07,73,66,7,1.4285714285714286
2025-01-08,73,66,7,3.4285714285714284
2025-01-09,68,66,2,3.0
2025-01-10,70,66,4,4.285714285714286
2025-01-11,66,66,0,4.857142857142857
2025-01-12,69,66,3,4.0
2025-01-13,68,66,2,3.5714285714285716
2025-01-14,66,66,0,2.5714285714285716
2025-01-15,72,66,6,2.4285714285714284
2025-01-16,67,66,1,2.2857142857142856
2025-01-17,60,66,-6,0.8571428571428571
2025-01-18,62,66,-4,0.2857142857142857
2025-01-19,59,66,-7,-1.1428571428571428
2025-01-20,72,66,6,-0.5714285714285714
2025-01-21,70,66,4,0.0
2025-01-22,74,66,8,0.2857142857142857
2025-01-23,80,66,14,2.142857142857143
2025-01-24,72,66,6,3.857142857142857
2025-01-25,62,66,-4,3.857142857142857
2025-01-26,58,66,-8,3.7142857142857144
2025-01-27,59,66,-7,1.8571428571428572
2025-01-28,61,66,-5,0.5714285714285714
2025-01-29,61,66,-5,-1.2857142857142858
2025-01-30,57,66,-9,-4.571428571428571
2025-01-31,60,66,-6,-6.285714285714286
2025-02-01,66,66,0,-5.714285714285714
2025-02-02,66,66,0,-4.571428571428571
2025-02-03,59,66,-7,-4.571428571428571
2025-02-04,64,66,-2,-4.142857142857143
2025-02-05,63,66,-3,-3.857142857142857
2025-02-06,62,66,-4,-3.142857142857143
2025-02-07,60,66,-6,-3.142857142857143
2025-02-08,62,66,-4,-3.7142857142857144
2025-02-09,66,66,0,-3.7142857142857144
2025-02-10,62,66,-4,-3.2857142857142856
2025-02-11,60,66,-6,-3.857142857142857
2025-02-12,56,66,-10,-4.857142857142857
2025-02-13,60,66,-6,-5.142857142857143
2025-02-14,61,66,-5,-5.0
2025-02-15,66,66,0,-4.428571428571429
2025-02-16,69,66,3,-4.0
2025-02-17,65,66,-1,-3.5714285714285716
2025-02-18,65,65,0,-2.7142857142857144
2025-02-19,65,65,0,-1.2857142857142858
2025-02-20,66,65,1,-0.2857142857142857
2025-02-21,74,65,9,1.7142857142857142
2025-02-22,67,65,2,2.0
2025-02-23,71,65,6,2.4285714285714284
2025-02-24,69,65,4,3.142857142857143
2025-02-25,70,65,5,3.857142857142857
2025-02-26,65,65,0,3.857142857142857
2025-02-27,86,66,20,6.571428571428571
2025-02-28,69,66,3,5.714285714285714
2025-03-01,62,66,-4,4.857142857142857
2025-03-02,63,66,-3,3.5714285714285716
2025-03-03,63,66,-3,2.5714285714285716
2025-03-04,64,66,-2,1.5714285714285714
2025-03-05,58,66,-8,0.42857142857142855
2025-03-06,56,66,-10,-3.857142857142857
2025-03-07,60,66,-6,-5.142857142857143
2025-03-08,62,66,-4,-5.142857142857143
2025-03-09,71,66,5,-4.0
2025-03-10,65,66,-1,-3.7142857142857144
2025-03-11,60,66,-6,-4.285714285714286
2025-03-12,61,66,-5,-3.857142857142857
2025-03-13,58,66,-8,-3.5714285714285716
2025-03-14,52,66,-14,-4.714285714285714
2025-03-15,61,66,-5,-4.857142857142857
2025-03-16,64,66,-2,-5.857142857142857
2025-03-17,62,66,-4,-6.285714285714286
2025-03-18,63,66,-3,-5.857142857142857
2025-03-19,73,66,7,-4.142857142857143
2025-03-20,67,66,1,-2.857142857142857
2025-03-21,67,66,1,-0.7142857142857143
2025-03-22,68,66,2,0.2857142857142857
2025-03-23,66,66,0,0.5714285714285714
2025-03-24,68,66,2,1.4285714285714286
2025-03-25,65,66,-1,1.7142857142857142
2025-03-26,61,67,-6,-0.14285714285714285
2025-03-27,64,67,-3,-0.7142857142857143
2025-03-28,66,67,-1,-1.0
2025-03-29,64,67,-3,-1.7142857142857142
2025-03-30,63,67,-4,-2.2857142857142856
2025-03-31,64,67,-3,-3.0
2025-04-01,63,67,-4,-3.4285714285714284
2025-04-02,63,67,-4,-3.142857142857143
2025-04-03,63,67,-4,-3.2857142857142856
2025-04-04,64,67,-3,-3.5714285714285716
2025-04-05,75,67,8,-2.0
2025-04-06,77,67,10,0.0
2025-04-07,69,68,1,0.5714285714285714
2025-04-08,68,68,0,1.1428571428571428
2025-04-09,72,68,4,2.2857142857142856
2025-04-10,71,68,3,3.2857142857142856
2025-04-11,76,68,8,4.857142857142857
2025-04-12,66,68,-2,3.4285714285714284
2025-04-13,65,68,-3,1.5714285714285714
2025-04-14,65,68,-3,1.0
2025-04-15,62,68,-6,0.14285714285714285
2025-04-16,68,68,0,-0.42857142857142855
2025-04-17,62,68,-6,-1.7142857142857142
2025-04-18,63,68,-5,-3.5714285714285716
2025-04-19,66,68,-2,-3.5714285714285716
2025-04-20,64,68,-4,-3.7142857142857144
2025-04-21,64,68,-4,-3.857142857142857
2025-04-22,64,69,-5,-3.7142857142857144
2025-04-23,62,69,-7,-4.714285714285714
2025-04-24,64,69,-5,-4.571428571428571
2025-04-25,64,69,-5,-4.571428571428571
2025-04-26,62,69,-7,-5.285714285714286
2025-04-27,63,69,-6,-5.571428571428571
2025-04-28,64,69,-5,-5.714285714285714
2025-04-29,66,69,-3,-5.428571428571429
2025-04-30,65,69,-4,-5.0
2025-05-01,66,69,-3,-4.714285714285714
2025-05-02,65,69,-4,-4.571428571428571
2025-05-03,63,69,-6,-4.428571428571429
2025-05-04,63,69,-6,-4.428571428571429
2025-05-05,65,69,-4,-4.285714285714286
2025-05-06,63,69,-6,-4.714285714285714
2025-05-07,68,69,-1,-4.285714285714286
2025-05-08,69,69,0,-3.857142857142857
2025-05-09,71,69,2,-3.0
2025-05-10,81,69,12,-0.42857142857142855
2025-05-11,78,69,9,1.7142857142857142
2025-05-12,71,69,2,2.5714285714285716
2025-05-13,68,69,-1,3.2857142857142856
2025-05-14,69,69,0,3.4285714285714284
2025-05-15,68,69,-1,3.2857142857142856
2025-05-16,67,69,-2,2.7142857142857144
2025-05-17,63,70,-7,0.0
2025-05-18,68,70,-2,-1.5714285714285714
2025-05-19,71,70,1,-1.7142857142857142
2025-05-20,75,70,5,-0.8571428571428571
2025-05-21,74,70,4,-0.2857142857142857
2025-05-22,71,70,1,0.0
2025-05-23,71,70,1,0.42857142857142855
2025-05-24,69,70,-1,1.2857142857142858
2025-05-25,69,70,-1,1.4285714285714286
2025-05-26,69,70,-1,1.1428571428571428
2025-05-27,72,70,2,0.7142857142857143
2025-05-28,67,70,-3,-0.2857142857142857
2025-05-29,69,70,-1,-0.5714285714285714
2025-05-30,76,70,6,0.14285714285714285
2025-05-31,75,70,5,1.0
2025-06-01,76,70,6,2.0
2025-06-02,70,70,0,2.142857142857143
2025-06-03,66,70,-4,1.2857142857142858
2025-06-04,69,70,-1,1.5714285714285714
2025-06-05,70,71,-1,1.5714285714285714
2025-06-06,68,71,-3,0.2857142857142857
2025-06-07,68,71,-3,-0.8571428571428571
2025-06-08,69,71,-2,-2.0
2025-06-09,69,71,-2,-2.2857142857142856
2025-06-10,72,71,1,-1.5714285714285714
2025-06-11,70,71,-1,-1.5714285714285714
2025-06-12,71,72,-1,-1.5714285714285714
2025-06-13,72,72,0,-1.1428571428571428
2025-06-14,73,72,1,-0.5714285714285714
2025-06-15,75,72,3,0.14285714285714285
2025-06-16,75,72,3,0.8571428571428571
2025-06-17,78,72,6,1.5714285714285714
2025-06-18,76,72,4,2.2857142857142856
2025-06-19,73,72,1,2.5714285714285716
2025-06-20,72,73,-1,2.4285714285714284
2025-06-21,71,73,-2,2.0
2025-06-22,74,73,1,1.7142857142857142
2025-06-23,74,73,1,1.4285714285714286
2025-06-24,69,73,-4,0.0
2025-06-25,72,73,-1,-0.7142857142857143
2025-06-26,72,74,-2,-1.1428571428571428
2025-06-27,73,74,-1,-1.1428571428571428
2025-06-28,74,74,0,-0.8571428571428571
2025-06-29,71,74,-3,-1.4285714285714286
2025-06-30,72,74,-2,-1.8571428571428572
2025-07-01,70,74,-4,-1.8571428571428572
2025-07-02,70,74,-4,-2.2857142857142856
2025-07-03,73,74,-1,-2.142857142857143
2025-07-04,74,74,0,-2.0
2025-07-05,73,74,-1,-2.142857142857143
2025-07-06,71,75,-4,-2.2857142857142856
2025-07-07,72,75,-3,-2.4285714285714284
2025-07-08,73,75,-2,-2.142857142857143
2025-07-09,75,75,0,-1.5714285714285714
2025-07-10,75,75,0,-1.4285714285714286
2025-07-11,75,75,0,-1.4285714285714286
2025-07-12,75,75,0,-1.2857142857142858
2025-07-13,71,75,-4,-1.2857142857142858
2025-07-14,70,75,-5,-1.5714285714285714
2025-07-15,74,75,-1,-1.4285714285714286
2025-07-16,74,75,-1,-1.5714285714285714
2025-07-17,73,75,-2,-1.8571428571428572
2025-07-18,73,75,-2,-2.142857142857143
2025-07-19,75,75,0,-2.142857142857143
2025-07-20,73,75,-2,-1.8571428571428572
2025-07-21,72,75,-3,-1.5714285714285714
2025-07-22,73,75,-2,-1.7142857142857142
2025-07-23,73,76,-3,-2.0
2025-07-24,76,76,0,-1.7142857142857142
2025-07-28,76,76,0,-1.4285714285714286
2025-07-29,76,76,0,-1.4285714285714286
